Date,Open ,High ,Low ,Close ,Volume
20-Jun-17,147,147.29,144.94,145.09,221433
21-Jun-17,144.68,146.07,144.35,145.89,194239
22-Jun-17,146.09,146.7,145.11,145.64,172310
23-Jun-17,145.95,147.16,145.06,146.38,261646
26-Jun-17,146.77,148.28,145.38,145.88,235803
27-Jun-17,145.21,146.16,143.32,143.4,226919
28-Jun-17,142.75,146.11,141.7,145.85,198830
29-Jun-17,145.79,145.8,142.28,143.39,288038
30-Jun-17,143.95,145.69,143.44,143.85,198248
3-Jul-17,144.72,145.31,143.1,143.51,125804
5-Jul-17,143.58,144.79,142.72,144,190624
6-Jul-17,143.58,143.58,142.41,142.65,213058
7-Jul-17,142.4,144.75,142.4,144.26,165735
10-Jul-17,144.83,145.95,143.37,144.95,192558
11-Jul-17,144.93,145.85,144.35,145.55,161939
12-Jul-17,145.8,146.28,144.82,145.45,212086
13-Jul-17,145.76,148.49,145.43,147.14,231497
14-Jul-17,147.45,149.33,146.8,149.04,183578
17-Jul-17,149.2,150.9,148.57,149.75,207795
18-Jul-17,149.51,150.25,148.67,150.18,158720
19-Jul-17,150.35,151.42,149.75,150.79,186739
20-Jul-17,151.05,151.74,150.19,150.37,149375
21-Jul-17,150.32,150.44,148.88,150.13,208644
24-Jul-17,150.1,152.44,149.9,151.87,193254
25-Jul-17,151.93,153.84,151.75,152.88,167176
26-Jul-17,153.04,153.93,153.04,153.83,142702
27-Jul-17,153.99,154.39,147.3,150,299408
28-Jul-17,149.49,150.23,149.19,149.48,154287
31-Jul-17,149.75,150.33,148,148.11,172713
1-Aug-17,149.05,159.9,148.41,159.5,319969
2-Aug-17,159.22,160,156.16,157.04,634211
3-Aug-17,157.4,157.4,155.02,155.56,239015
4-Aug-17,155.7,157.4,155.57,156.65,188575
7-Aug-17,157.1,158.92,156.06,158.75,195829
8-Aug-17,158.75,161.83,158.27,159.54,326600
9-Aug-17,159.38,161.29,158.73,161.2,234864
10-Aug-17,160.26,160.4,154.37,154.65,355699
11-Aug-17,154.95,158.58,154.21,157.42,237321
14-Aug-17,158.6,160.21,158.35,160.14,203919
15-Aug-17,160.33,162.2,160.11,161.4,262268
16-Aug-17,161.85,162.51,160.15,160.78,242971
17-Aug-17,160.84,160.88,157.84,158.02,250598
18-Aug-17,157.8,159.5,156.72,157.3,244881
21-Aug-17,157.45,157.89,155.11,157.2,236602
22-Aug-17,157.8,160,157.6,159.86,192118
23-Aug-17,159.86,160.47,158.79,159.41,169622
24-Aug-17,159.8,160.74,158.55,159.32,172706
25-Aug-17,159.5,160.56,159.27,159.6,183227
28-Aug-17,159.76,162,159.65,160.2,230754
29-Aug-17,160.2,163.3,159.5,163.3,269235
30-Aug-17,163.81,163.89,162.61,163.38,243597
31-Aug-17,163.5,164.52,163.25,164.2,239986
1-Sep-17,164.38,164.94,163.63,164.04,150793
5-Sep-17,164,164.39,160.56,162.03,269075
6-Sep-17,162.42,162.99,160.52,161.5,192613
